Ref,Val,Package,PosX,PosY,Rot,Side
"C100","1u","C_0603_1608Metric",52.147157,-27.142157,-90.000000,top
"C101","1u","C_0603_1608Metric",50.247157,-27.142157,-90.000000,top
"C102","22u","C_0805_2012Metric",32.700000,-41.850000,180.000000,top
"C103","22u","C_0805_2012Metric",29.600000,-45.750000,90.000000,top
"C104","22u","C_0805_2012Metric",39.500000,-12.250000,-90.000000,top
"C105","22u","C_0805_2012Metric",46.100000,-12.300000,-90.000000,top
"C106","DNP","C_0402_1005Metric",42.800000,-16.050000,180.000000,top
"C107","22u","C_0805_2012Metric",31.060000,-55.530000,180.000000,top
"C108","100n","C_0402_1005Metric",35.950000,-50.900000,-90.000000,top
"C200","10u","C_0603_1608Metric",22.937500,-19.780000,90.000000,top
"C201","100n","C_0402_1005Metric",24.587500,-19.980000,90.000000,top
"C202","100n","C_0402_1005Metric",32.917500,-28.980000,180.000000,top
"C203","100n","C_0402_1005Metric",36.370000,-20.300000,-90.000000,top
"C204","100n","C_0402_1005Metric",27.937500,-17.380000,0.000000,top
"C205","10n","C_0402_1005Metric",24.637500,-24.080000,90.000000,top
"C206","1u","C_0603_1608Metric",23.137500,-24.280000,90.000000,top
"C207","1u","C_0603_1608Metric",21.237500,-24.280000,90.000000,top
"C208","10p","C_0402_1005Metric",21.027500,-21.720000,180.000000,top
"C209","10p","C_0402_1005Metric",18.547500,-21.710000,0.000000,top
"C210","100n","C_0402_1005Metric",52.882157,-19.722157,0.000000,top
"C211","100n","C_0402_1005Metric",5.740000,-13.520000,0.000000,top
"C212","100n","C_0402_1005Metric",26.100000,-11.860000,0.000000,top
"C300","150p","C_0402_1005Metric",23.650000,-54.050000,90.000000,top
"C301","100n","C_0402_1005Metric",25.350000,-54.550000,180.000000,top
"C302","100n","C_0402_1005Metric",24.430000,-47.800000,0.000000,top
"C303","1n","C_0402_1005Metric",19.600000,-52.150000,-90.000000,top
"C304","150p","C_0402_1005Metric",14.635000,-49.965000,90.000000,top
"C305","1n","C_0402_1005Metric",19.900000,-50.450000,0.000000,top
"C306","100n","C_0402_1005Metric",21.500000,-47.590000,-90.000000,top
"C307","150p","C_0402_1005Metric",19.300000,-44.550000,0.000000,top
"C308","10u","C_0603_1608Metric",10.010000,-32.450000,180.000000,top
"C309","10u","C_0603_1608Metric",12.400000,-46.350000,180.000000,top
"C310","10u","C_0603_1608Metric",15.600000,-41.750000,90.000000,top
"C311","100n","C_0402_1005Metric",17.200000,-41.550000,90.000000,top
"C312","10u","C_0603_1608Metric",15.600000,-38.350000,-90.000000,top
"C313","100n","C_0402_1005Metric",17.190000,-38.170000,-90.000000,top
"C314","100n","C_0402_1005Metric",18.300000,-35.950000,180.000000,top
"C315","10u","C_0603_1608Metric",18.300000,-34.350000,180.000000,top
"C400","10u","C_0603_1608Metric",40.850000,-35.250000,180.000000,top
"C401","100n","C_0402_1005Metric",41.150000,-36.750000,180.000000,top
"C402","1u","C_0603_1608Metric",39.750000,-39.150000,-90.000000,top
"C403","1n","C_0402_1005Metric",43.850000,-47.850000,0.000000,top
"C404","150p","C_0402_1005Metric",46.040000,-51.560000,0.000000,top
"C405","1n","C_0402_1005Metric",41.650000,-50.150000,180.000000,top
"C406","100n","C_0402_1005Metric",39.850000,-53.050000,90.000000,top
"D100","GREEN","LED_0603_1608Metric",60.590000,-11.300000,180.000000,top
"D200","LED_RGB_E6C1206RGBC3UDA","LED_Cree-PLCC4_2x2mm_CW",5.840000,-16.020000,90.000000,top
"D201","PESD3V3L1BA,115","D_SOD-323",26.410000,-3.810000,-90.000000,top
"D202","PESD3V3L1BA,115","D_SOD-323",17.760000,-10.160000,180.000000,top
"D203","PESD3V3L1BA,115","D_SOD-323",16.700000,-3.760000,-90.000000,top
"D204","PESD3V3L1BA,115","D_SOD-323",21.100000,-10.160000,0.000000,top
"D205","PESD3V3L1BA,115","D_SOD-323",24.500000,-10.160000,0.000000,top
"D300","PESD3V3L1BA,115","D_SOD-323",21.940000,-57.280000,0.000000,top
"D400","PESD3V3L1BA,115","D_SOD-323",46.500000,-57.450000,0.000000,top
"J200","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",61.872157,-22.682157,90.000000,top
"J201","2x5 1.27mm","PinHeader_2x05_P1.27mm_Vertical_SMD",21.600000,-4.660000,-90.000000,top
"J300","031-5640-1010","AMPHENOL-BNC-031-5640-1010",20.900000,-63.250000,180.000000,top
"J400","031-5640-1010","AMPHENOL-BNC-031-5640-1010",45.800000,-63.150000,180.000000,top
"L100","10n","L_0402_1005Metric",51.247157,-24.742157,180.000000,top
"L101","15u","MWSA0603S",42.700000,-6.300000,0.000000,top
"L200","10n","L_0402_1005Metric",22.137500,-26.480000,180.000000,top
"L201","CMF3216F-900-2P-T","CMC-1206",47.492157,-22.182157,180.000000,top
"R100","10R","R_0805_2012Metric",33.650000,-38.850000,90.000000,top
"R101","100k","R_0402_1005Metric",42.800000,-14.750000,0.000000,top
"R102","22k","R_0402_1005Metric",40.600000,-14.700000,0.000000,top
"R103","1k","R_0402_1005Metric",60.810000,-13.160000,0.000000,top
"R104","1k","R_0402_1005Metric",34.450000,-53.780000,0.000000,top
"R105","1k","R_0402_1005Metric",31.500000,-53.770000,0.000000,top
"R200","10k","R_0402_1005Metric",29.730000,-16.850000,90.000000,top
"R201","0R","R_0402_1005Metric",18.540000,-22.880000,180.000000,top
"R202","10k","R_0402_1005Metric",36.760000,-26.710000,90.000000,top
"R203","10k","R_0402_1005Metric",27.410000,-29.190000,0.000000,top
"R204","1k5","R_0402_1005Metric",43.552157,-21.272157,-90.000000,top
"R205","5k1","R_0402_1005Metric",60.942157,-28.772157,180.000000,top
"R206","5k1","R_0402_1005Metric",60.612157,-16.602157,180.000000,top
"R207","1k","R_0402_1005Metric",8.620000,-15.270000,180.000000,top
"R208","1k","R_0402_1005Metric",8.610000,-18.480000,180.000000,top
"R209","1k","R_0402_1005Metric",8.640000,-16.770000,180.000000,top
"R210","49R9","R_0402_1005Metric",18.300000,-11.860000,180.000000,top
"R211","49R9","R_0402_1005Metric",15.000000,-3.260000,90.000000,top
"R212","49R9","R_0402_1005Metric",20.500000,-11.860000,180.000000,top
"R213","49R9","R_0402_1005Metric",23.990000,-11.860000,180.000000,top
"R300","1k","R_0402_1005Metric",20.890000,-55.070000,-90.000000,top
"R301","2M2","R_0402_1005Metric",22.350000,-54.050000,-90.000000,top
"R302","2M2","R_0402_1005Metric",26.350000,-53.330000,0.000000,top
"R303","6k8","R_0402_1005Metric",21.300000,-51.650000,0.000000,top
"R304","22k","R_0402_1005Metric",18.190000,-51.020000,-90.000000,top
"R305","12k","R_0402_1005Metric",16.400000,-50.450000,0.000000,top
"R306","1k","R_0402_1005Metric",17.600000,-45.050000,-90.000000,top
"R307","1k","R_0402_1005Metric",21.000000,-45.050000,-90.000000,top
"R308","49R9","R_0402_1005Metric",10.810000,-34.550000,90.000000,top
"R309","0R","R_0402_1005Metric",21.020000,-32.330000,-90.000000,top
"R400","0R","R_0402_1005Metric",42.550000,-32.840000,-90.000000,top
"R401","10k","R_0402_1005Metric",42.330000,-45.070000,0.000000,top
"R402","6k8","R_0402_1005Metric",41.640000,-47.850000,180.000000,top
"R403","22k","R_0402_1005Metric",43.350000,-49.640000,90.000000,top
"R404","12k","R_0402_1005Metric",45.050000,-50.150000,180.000000,top
"R405","49R9","R_0402_1005Metric",45.450000,-54.030000,90.000000,top
"U100","HT7533-1","SOT-89-3",33.400000,-45.650000,0.000000,top
"U101","TLV62569DBV","SOT-23-5",42.837500,-12.250000,180.000000,top
"U102","MCP6001T-E/OT","SOT-23-5",33.150000,-51.350000,0.000000,top
"U200","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",30.437500,-23.180000,0.000000,top
"U201","USBLC6-2SC6","SOT-23-6",52.392157,-22.182157,180.000000,top
"U300","MCP6001T-E/OT","SOT-23-5",24.900000,-50.450000,90.000000,top
"U301","MCP6001T-E/OT","SOT-23-5",18.700000,-48.050000,0.000000,top
"U302","REF3033AIDBZT","SOT-23",12.400000,-43.650000,180.000000,top
"U303","ADC141S626CIMM_NOPB","VSSOP-10",19.300000,-39.850000,0.000000,top
"U400","DAC7563SDGSR","VSSOP-10",42.150000,-40.550000,0.000000,top
"U401","MCP6001T-E/OT","SOT-23-5",42.687500,-52.600000,180.000000,top
"Y200","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",19.407500,-19.090000,180.000000,top
